Frame Count,r,x,y,z,Eculid dist (xy),,,r,x,y,z,Euclid dist (xy),Max ED (xy)
112,3.158284015,-0.285502915,2.874175968,34.01805154,2.88832121,,,2.867,0.265,2.458,36.691,2.472243718,2.751016721
112,3.156809942,-0.497989003,2.709808602,33.61427169,2.755187055,,,,,,,,
112,2.938963749,-0.326787308,2.200832598,32.11262018,2.224961588,,,,,,,0,
112,2.86989872,0.242437909,2.672206662,36.78337256,2.683181802,,,,,,,0,
112,2.867319543,0.265421915,2.45831736,36.69052777,2.472604504,,,,,,,0,
112,2.854751624,0.254673824,2.015043027,36.32580596,2.031072908,,,,,,,0,
112,2.689943214,-1.132537952,0.717561331,33.34959068,1.340722371,,,,,,,0,
112,2.583969838,-0.922351548,0.51798243,32.4822081,1.057846008,,,,,,,0,
112,1.1587153,-4.211203666,-0.096235808,34.44958051,4.212303129,,,,,,,0,
112,1.037229901,-4.333626082,0.719998948,34.18048674,4.393030105,,,,,,,0,
112,0.979159799,-4.392634167,1.310323985,34.1709016,4.583904871,,,,,,,0,
112,0.958334001,-4.804017042,1.866186529,34.15113495,5.153759007,,,,,,,0,
112,0.950422572,-4.914827242,1.686941122,34.20085298,5.196277241,,,,,,,0,
,,,,,0,,,,,,,0,
113,2.548178455,-0.252429292,0.577525132,35.95990851,0.630282338,,,2.486,-0.18,0.777,35.103,0.797576956,
113,2.485625524,-0.180250713,0.777340409,35.10315008,0.797965182,,,,,,,0,
113,2.47806306,-0.510595123,0.571860822,36.97818739,0.766636928,,,,,,,0,
113,2.399175693,-0.489336554,1.480605347,37.06524692,1.559372456,,,,,,,0,
113,2.240019854,-0.569165611,2.44160213,35.52702211,2.50706411,,,,,,,0,
113,2.228290296,-0.515047707,2.298966378,35.20460461,2.355954275,,,,,,,0,
113,2.20607483,-0.473055222,2.691939149,34.90069331,2.73318818,,,,,,,0,
,,,,,0,,,,,,,0,
114,4.010073133,-0.306936129,0.889025536,31.0883558,0.940519107,,,2.819,-0.995,1.52,35.81,1.816707186,
114,2.819206626,-0.995291862,1.519718378,35.8095424,1.816631454,,,,,,,0,
114,2.314410022,0.245058039,-0.026827156,35.63563202,0.246522086,,,,,,,0,
,,,,,0,,,,,,,0,
115,3.054506813,1.131735518,1.651649902,33.8833835,2.002191969,,,2.895,-0.562,2.693,35.44,2.751016721,
115,2.896222819,-0.325087606,2.623596841,35.29803677,2.643660783,,,,,,,0,
115,2.894766848,-0.562261847,2.693057794,35.4404068,2.751126799,,,,,,,0,
115,2.843861734,0.613092881,1.778468104,36.29494996,1.881178268,,,,,,,0,
115,2.799434657,-1.530852086,2.789465082,35.33040769,3.181921362,,,,,,,0,
115,2.795937868,-0.594189159,2.381583674,36.33710198,2.454587858,,,,,,,0,
115,2.615025638,-1.943220095,2.32697929,36.46922996,3.031655811,,,,,,,0,
,,,,,0,,,,,,,0,
116,3.117642483,-0.395269722,0.470845142,36.96697078,0.6147628,,,3.051,0.07,0.424,34.077,0.429739456,
116,3.051232965,0.070302558,0.424181478,34.0768357,0.429967878,,,,,,,0,
116,2.768223292,1.896523002,1.376824657,34.82872324,2.34359673,,,,,,,0,
116,2.31177603,0.350719336,5.418458293,36.33489666,5.429796895,,,,,,,0,
116,2.299062903,0.245739127,4.819988597,36.11896043,4.826248833,,,,,,,0,
116,2.266877502,0.121562132,4.339888901,36.05199683,4.341591071,,,,,,,0,
116,1.900865807,-3.534355479,1.512891294,36.74226502,3.844542719,,,,,,,0,
,,,,,0,,,,,,,0,
117,3.701413677,-0.306249345,0.96523891,36.13657828,1.012657304,,,3.289,-0.087,-0.122,34.189,0.149843251,
117,3.69724387,-0.126371966,0.860533853,36.06526526,0.869763408,,,,,,,0,
117,3.579744318,-0.15315283,-0.931298962,31.40172545,0.943808003,,,,,,,0,
117,3.526331196,0.068505753,0.328442156,37.20185332,0.335510489,,,,,,,0,
117,3.288874647,-0.087242407,-0.121913525,34.18935422,0.149913792,,,,,,,0,
117,2.880573171,2.433503835,1.62121654,35.26616064,2.924086863,,,,,,,0,
,,,,,0,,,,,,,0,
118,3.734984641,-0.240140297,-0.059883003,32.18846072,0.247494114,,,3.548,-0.346,0.738,33.983,0.815082818,
118,3.683227235,-0.500153299,0.185831524,32.9708498,0.533560379,,,,,,,0,
118,3.547932416,-0.345631784,0.737899553,33.98293312,0.814835616,,,,,,,0,
,,,,,0,,,,,,,0,
119,3.728336571,-0.720111344,1.458466789,36.15597722,1.6265564,,,2.983,-0.504,0.742,32.907,0.896983835,
119,3.679315642,-1.214744486,2.026943145,36.29185905,2.363070604,,,,,,,0,
119,2.995887436,1.956420611,1.966760353,34.70433819,2.774117498,,,,,,,0,
119,2.983436108,-0.504163048,0.742116449,32.9067222,0.89717178,,,,,,,0,
119,2.712746536,2.015520791,1.422562581,32.97581965,2.466983655,,,,,,,0,
119,2.711403984,1.997324209,1.365816354,32.84485724,2.419660784,,,,,,,0,
,,,,,0,,,,,,,0,
120,3.256318056,-0.558400777,0.854661992,34.93413714,1.020910647,,,3.069,-0.087,0.51,32.927,0.517367374,
120,3.110496712,-1.860459338,1.608904951,36.26734173,2.459651213,,,,,,,0,
120,3.104761497,-1.437781145,1.240412692,35.90277026,1.898904491,,,,,,,0,
120,3.085787417,-1.736524948,1.324753037,36.71585411,2.184145028,,,,,,,0,
120,3.077869565,-0.108657453,0.634527207,33.25928065,0.643763325,,,,,,,0,
120,3.068840876,-0.086688646,0.509605914,32.92724541,0.516926599,,,,,,,0,
120,3.004196782,-0.236707021,0.23434508,36.50658959,0.333088322,,,,,,,0,
120,2.732231408,1.767059337,1.662984254,34.15035575,2.426523301,,,,,,,0,
120,2.550422043,2.187361678,1.211035521,32.94323903,2.500231618,,,,,,,0,
120,1.465780791,1.021234163,4.448246962,34.86430793,4.563969791,,,,,,,0,
,,,,,0,,,,,,,0,
121,3.143935539,-2.954437017,2.59061343,35.78539458,3.929373491,,,2.761,-1.457,1.732,34.929,2.263332278,
121,3.133692486,-0.389474559,0.640361999,33.65550134,0.74950245,,,,,,,0,
121,2.760667094,-1.45748747,1.732100878,34.92851221,2.2637233,,,,,,,0,
121,2.682959755,0.406589419,0.480174022,36.25020084,0.629191582,,,,,,,0,
121,2.6666006,0.458490082,0.342869969,36.69836888,0.572514603,,,,,,,0,
121,2.661604719,-2.392877421,1.378590771,34.10953121,2.761589192,,,,,,,0,
,,,,,0,,,,,,,0,
122,3.020384881,0.022533507,0.617670959,36.16751912,0.618081849,,,3.02,0.023,0.618,36.168,0.618427845,
122,2.782566553,-1.828350254,1.860626709,35.1966374,2.608600468,,,,,,,0,
,,,,,0,,,,,,,0,
123,3.410372637,-0.09731436,-0.108348276,32.49706452,0.145634589,,,3.355,-0.479,0.597,36.476,0.765408388,
123,3.359122505,-0.205456405,-0.732855555,32.13310967,0.761110766,,,,,,,0,
123,3.357434624,-0.221109738,-0.849615509,31.86609475,0.87791573,,,,,,,0,
123,3.355210477,-0.478751727,0.597201281,36.47608129,0.765410077,,,,,,,0,
123,3.351950989,-0.155021197,-0.509805833,31.80866976,0.532854163,,,,,,,0,
123,3.341946629,-0.061654935,-0.226989625,31.61139019,0.23521399,,,,,,,0,
123,3.340480576,-0.239571918,-1.264674607,31.87194096,1.287166099,,,,,,,0,
123,3.322276714,-0.415804126,0.218471221,33.47572821,0.469704956,,,,,,,0,
123,3.233265428,-1.449744442,1.308982161,36.69595393,1.953251967,,,,,,,0,
123,3.221154907,-1.717069397,1.42789378,37.06955675,2.233205759,,,,,,,0,
,,,,,0,,,,,,,0,
124,3.888,-0.273168955,0.879602265,34.37868082,0.921043659,,,3.442,0.344,0.557,36.783,0.654664036,
124,3.442,0.34402131,0.556658742,36.78294373,0.654384915,,,,,,,0,
,,,,,0,,,,,,,0,
125,2.577500051,1.188526609,0.982841758,35.40159873,1.542262436,,,2.578,1.189,0.983,35.402,1.542728103,
125,2.513472787,-0.45858473,0.381181699,35.57912924,0.596321593,,,,,,,0,
125,1.836333399,-3.155828661,1.521368152,36.92107227,3.503400575,,,,,,,0,
,,,,,0,,,,,,,0,
126,2.89171619,-0.31941427,-0.013221882,36.6265518,0.319687807,,,2.681,-0.658,0.173,35.106,0.680362403,
126,2.887159287,-0.443865238,-0.139379101,37.33772755,0.465234224,,,,,,,0,
126,2.680570283,-0.65771233,0.1728162,35.10627019,0.680037461,,,,,,,0,
126,2.080178562,1.543243439,1.985863766,33.40456331,2.515006006,,,,,,,0,
126,2.005999409,2.415394455,2.066783779,33.12905507,3.178950387,,,,,,,0,
126,1.938655519,2.235484443,1.80096321,32.55508254,2.87068967,,,,,,,0,
126,1.912388851,1.350710938,1.643921491,34.42440817,2.127650795,,,,,,,0,
126,1.871190044,-0.057156844,-3.582531501,36.28594709,3.582987421,,,,,,,0,
,,,,,0,,,,,,,0,
127,1.936218634,0.111163275,1.114130584,34.88834351,1.119662553,,,1.936,0.111,1.114,34.888,1.119516413,
127,1.904061633,0.127680053,0.887898124,35.34278267,0.897031368,,,,,,,0,
127,1.709753288,0.928975788,-0.064825611,34.64071409,0.931234865,,,,,,,0,
127,0.47644916,1.691834687,2.798332392,37.0300429,3.270010517,,,,,,,0,
127,0.416964632,1.843515214,3.387274377,36.52506794,3.856446039,,,,,,,0,
,,,,,0,,,,,,,0,
128,2.358024864,-0.131405037,0.691861373,34.73042381,0.704229681,,,2.355,-0.066,0.738,34.486,0.740945342,
128,2.354945491,-0.066135792,0.737565364,34.48568768,0.74052455,,,,,,,0,
128,1.818181326,1.730179791,3.336175294,33.1235929,3.7581362,,,,,,,0,
128,1.815462957,1.789954528,3.283626883,33.48645668,3.739805171,,,,,,,0,
,,,,,0,,,,,,,0,
129,2.621614009,0.567632465,1.222391071,33.1413484,1.347756115,,,2.513,0.45,0.865,34.685,0.975051281,
129,2.51261131,0.449583524,0.864926681,34.68547051,0.974794085,,,,,,,0,
129,2.216899342,-1.682754617,1.449061353,33.05502096,2.220685008,,,,,,,0,
129,2.215759584,-1.341496537,1.459896775,33.34536599,1.982652656,,,,,,,0,
129,2.115574871,-2.634556449,1.934427937,33.34694608,3.268470457,,,,,,,0,
129,2.112447544,-2.426444085,1.84729923,33.39536341,3.049613966,,,,,,,0,
129,2.103114009,-2.512277176,1.835356099,33.09250022,3.111280865,,,,,,,0,
129,1.799466263,-2.862849591,1.374716927,34.91573792,3.175807678,,,,,,,0,
,,,,,0,,,,,,,0,
130,3.155111779,-0.577339339,0.903477484,37.14767541,1.072190411,,,3.019,-0.429,1.319,35.891,1.387011896,
130,3.11169499,-0.22841016,1.702169132,32.40416885,1.717425677,,,,,,,0,
130,3.034043061,-0.376095673,1.456316594,35.55811175,1.504096399,,,,,,,0,
130,3.019457884,-0.428721196,1.319175667,35.89131925,1.387092753,,,,,,,0,
,,,,,0,,,,,,,0,
131,2.834821407,-0.922780526,1.061903833,34.25609581,1.406827512,,,2.68,-0.86,1.321,32.744,1.576274405,
131,2.775600716,-2.278441523,1.894660406,35.8262337,2.963280923,,,,,,,0,
131,2.682553711,-0.818223319,1.368700764,32.55068256,1.594625718,,,,,,,0,
