Frame Count,r,x,y,z,can_see_geometric_center,can_see_center_of_mass,theta,,r,x,y,z,can_see_geometric_center,can_see_center_of_mass,theta
112,3.158284015,-0.285502915,2.874175968,34.01805154,FALSE,FALSE,0.516239828,,2.867,0.265,2.458,36.691,TRUE,TRUE,0.765627146
112,3.156809942,-0.497989003,2.709808602,33.61427169,FALSE,FALSE,0.657054236,,,,,,,,
112,2.938963749,-0.326787308,2.200832598,32.11262018,TRUE,FALSE,0.369042368,,,,,,,,
112,2.86989872,0.242437909,2.672206662,36.78337256,FALSE,TRUE,0.259089816,,,,,,,,
112,2.867319543,0.265421915,2.45831736,36.69052777,TRUE,TRUE,0.765627146,,,,,,,,
112,2.854751624,0.254673824,2.015043027,36.32580596,TRUE,TRUE,0.553911693,,,,,,,,
112,2.689943214,-1.132537952,0.717561331,33.34959068,TRUE,FALSE,1.539785139,,,,,,,,
112,2.583969838,-0.922351548,0.51798243,32.4822081,TRUE,TRUE,0.288048801,,,,,,,,
,,,,,,,,,,,,,,,
113,2.548178455,-0.252429292,0.577525132,35.95990851,TRUE,TRUE,0.673620223,,2.486,-0.18,0.777,35.103,FALSE,TRUE,0.166633403
113,2.485625524,-0.180250713,0.777340409,35.10315008,FALSE,TRUE,0.196782569,,,,,,,,
113,2.47806306,-0.510595123,0.571860822,36.97818739,TRUE,TRUE,0.166633403,,,,,,,,
113,2.399175693,-0.489336554,1.480605347,37.06524692,TRUE,TRUE,0.403316918,,,,,,,,
113,2.240019854,-0.569165611,2.44160213,35.52702211,FALSE,FALSE,0.500306288,,,,,,,,
113,2.228290296,-0.515047707,2.298966378,35.20460461,FALSE,FALSE,0.702370767,,,,,,,,
113,2.20607483,-0.473055222,2.691939149,34.90069331,TRUE,FALSE,0.66814412,,,,,,,,
,,,,,,,,,,,,,,,
114,4.010073133,-0.306936129,0.889025536,31.0883558,TRUE,TRUE,0.062219922,,2.819,-0.995,1.52,35.81,FALSE,TRUE,0.114635056
114,2.819206626,-0.995291862,1.519718378,35.8095424,FALSE,TRUE,0.114635056,,,,,,,,
114,2.314410022,0.245058039,-0.026827156,35.63563202,FALSE,TRUE,0.249656632,,,,,,,,
,,,,,,,,,,,,,,,
115,3.054506813,1.131735518,1.651649902,33.8833835,FALSE,FALSE,0.545056669,,2.895,-0.562,2.693,35.44,FALSE,FALSE,0.938610708
115,2.896222819,-0.325087606,2.623596841,35.29803677,FALSE,FALSE,1.19527443,,,,,,,,
115,2.894766848,-0.562261847,2.693057794,35.4404068,FALSE,FALSE,0.938610708,,,,,,,,
115,2.843861734,0.613092881,1.778468104,36.29494996,FALSE,TRUE,0.330515613,,,,,,,,
115,2.795937868,-0.594189159,2.381583674,36.33710198,FALSE,FALSE,0.391919908,,,,,,,,
,,,,,,,,,,,,,,,
116,3.117642483,-0.395269722,0.470845142,36.96697078,TRUE,TRUE,0.407744437,,3.051,0.07,0.424,34.077,TRUE,FALSE,0.484738883
