Frame Count,r,x,y,z,theta,,r,x,y,z,dist_cm_xy,dist_cm_z,dist_gc_xy,dist_gc_z,,x_1,y_1,z_1,atom_type_1,angle_1,dist_cm_xy_1,dist_cm_z_1,dist_gc_xy_1,dist_gc_z_1,,x_2,y_2,z_2,atom_type_2,angle_2,dist_cm_xy_2,dist_cm_z_2,dist_gc_xy_2,dist_gc_z_2,,x_3,y_3,z_3,atom_type_3,angle_3,dist_cm_xy_3,dist_cm_z_3,dist_gc_xy_3,dist_gc_z_3
112,2.867,0.265,2.458,36.691,0.765627146,,3.158284015,-0.285502915,2.874175968,34.01805154,2.23803037,-0.449313564,2.219659917,0.874120104,,-3.653,1.325,36.114,H_,1.239521413,3.514181718,-2.545262026,3.525459477,-1.221828358,,2.515,-0.296,33.528,H_,1.028942377,2.877365194,0.040737974,2.869218137,1.364171642,,-0.588,7.579,32.845,C_R2,0.873128863,6.951930926,0.723737974,6.933838416,2.047171642
112,,,,,,,3.156809942,-0.497989003,2.709808602,33.61427169,2.092645727,-0.045533715,2.076049392,1.277899953,,-3.653,1.325,36.114,H_,1.255145669,3.514181718,-2.545262026,3.525459477,-1.221828358,,2.515,-0.296,33.528,H_,1.013163343,2.877365194,0.040737974,2.869218137,1.364171642,,-1.328,7.112,31.738,C_R1,0.873283642,6.570844699,1.830737974,6.554770488,3.154171642
112,,,,,,,2.938963749,-0.326787308,2.200832598,32.11262018,1.567904043,1.456117797,1.550239587,2.779551465,,-4.27,1.646,31.437,H_,1.271089468,4.186558194,2.131737974,4.196815189,3.455171642,,-0.626,6.59,30.641,C_R2,1.051501233,5.967215755,2.927737974,5.949380131,4.251171642,,2.515,-0.296,33.528,H_,0.819001953,2.877365194,0.040737974,2.869218137,1.364171642
112,,,,,,,2.86989872,0.242437909,2.672206662,36.78337256,2.083659905,-3.214634587,2.061879088,-1.891200919,,-2.057,6.473,37.856,C_R2,1.533740703,6.121782631,-4.287262026,6.108328387,-2.963828358,,-4.28,2.016,36.753,C_R2,1.015708684,4.300209404,-3.184262026,4.308602118,-1.860828358,,4.8,3.003,36.727,C_R2,0.592143267,5.5373872,-3.158262026,5.515532565,-1.834828358
112,,,,,,,2.867319543,0.265421915,2.45831736,36.69052777,1.881003011,-3.121789798,1.858842797,-1.798356131,,4.193,2.327,36.146,H_,2.147793006,4.712941232,-2.577262026,4.691949016,-1.253828358,,4.8,3.003,36.727,C_R2,0.894680266,5.5373872,-3.158262026,5.515532565,-1.834828358,,-4.28,2.016,36.753,C_R2,0.099119382,4.300209404,-3.184262026,4.308602118,-1.860828358
112,,,,,,,2.854751624,0.254673824,2.015043027,36.32580596,1.452727306,-2.757067982,1.429926557,-1.433634315,,2.91,-1.026,34.217,C_R2,1.394510588,3.532884126,-0.648262026,3.528474686,0.675171642,,4.193,2.327,36.146,H_,1.255503973,4.712941232,-2.577262026,4.691949016,-1.253828358,,-4.28,2.016,36.753,C_R2,0.491578093,4.300209404,-3.184262026,4.308602118,-1.860828358
112,,,,,,,2.689943214,-1.132537952,0.717561331,33.34959068,0.929272715,0.219147296,0.943016438,1.542580963,,-3.653,1.325,36.114,H_,1.329725343,3.514181718,-2.545262026,3.525459477,-1.221828358,,-4.27,1.646,31.437,H_,1.13825556,4.186558194,2.131737974,4.196815189,3.455171642,,2.515,-0.296,33.528,H_,0.67361175,2.877365194,0.040737974,2.869218137,1.364171642
112,,,,,,,2.583969838,-0.922351548,0.51798243,32.4822081,0.725550921,1.086529878,0.743863677,2.409963545,,-4.256,-0.802,31.636,H_,1.526455137,4.297550701,1.932737974,4.318264034,3.256171642,,-4.27,1.646,31.437,H_,1.275281154,4.186558194,2.131737974,4.196815189,3.455171642,,2.515,-0.296,33.528,H_,0.339856362,2.877365194,0.040737974,2.869218137,1.364171642
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2.486,-0.18,0.777,35.103,0.166633403,,2.548178455,-0.252429292,0.577525132,35.95990851,0.274986518,-2.109759534,0.2830185,-0.846087619,,2.962,1.2,37.569,H_,1.43419971,3.002259867,-3.71885102,3.035292028,-2.455179104,,3.102,-1.962,35.372,C_R2,1.219446037,4.000049938,-1.52185102,3.937520681,-0.258179104,,-4.325,1.357,35.036,C_R2,0.487946906,4.414295975,-1.18585102,4.42603497,0.077820896
